Year,Position,Height_in_inches,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height
2010,S,72.44,210.5,4.52,36.92,16.94,120.38,6.97,4.29,6-0
2011,S,72.15,208.08,4.59,33.19,17.62,117.0,6.89,4.11,6-0
2012,S,72.38,208.85,4.54,35.1,17.7,123.0,6.94,4.21,6-0
2013,S,71.72,210.5,4.57,36.87,18.43,124.79,6.87,4.14,5-11
2014,S,72.0,203.93,4.54,34.83,15.0,118.0,7.14,4.27,6-0
2015,S,71.82,211.55,4.56,34.71,18.33,118.62,7.03,4.22,5-11
2016,S,72.53,206.2,4.57,35.85,15.58,123.73,7.0,4.19,6-0
2017,S,72.48,208.13,4.51,34.83,16.05,122.61,6.85,4.18,6-0
2018,S,73.31,205.0,4.46,37.21,18.38,123.43,6.86,4.24,6-1
2019,S,71.67,202.56,4.48,36.92,17.27,123.87,6.92,4.11,5-11
2020,S,72.05,207.19,4.53,36.31,18.21,125.07,6.84,4.22,6-0
2021,S,71.6,206.2,4.5,37.58,19.4,127.0,7.01,4.2,5-11
2022,S,72.86,202.07,4.43,36.0,18.67,125.55,6.77,4.22,6-0
2010,DE,75.83,274.22,4.85,33.62,24.87,114.36,7.27,4.57,6-3
2011,DE,75.55,271.2,4.81,32.62,23.87,114.69,7.2,4.4,6-3
2012,DE,75.83,272.5,4.78,32.69,26.55,113.44,7.23,4.42,6-3
2013,DE,76.27,265.23,4.8,33.15,24.39,116.88,7.13,4.46,6-4
2014,DE,76.06,268.0,4.83,33.12,21.0,116.33,7.29,4.43,6-4
2015,DE,76.0,267.0,4.79,34.5,24.07,119.4,7.3,4.37,6-4
2016,DE,76.11,267.94,4.82,33.38,24.07,116.41,7.26,4.37,6-4
2017,DE,75.81,267.05,4.77,33.0,23.94,120.0,7.19,4.4,6-3
2018,DE,76.5,276.17,4.78,33.3,25.25,116.67,7.3,4.42,6-4
2021,DE,74.67,252.0,4.7,34.0,23.5,117.8,7.12,4.39,6-2
2022,DE,76.82,269.09,4.76,33.57,20.5,118.71,6.96,4.3,6-4
2023,DE,75.67,273.33,4.77,33.6,25.5,118.0,7.49,4.52,6-3
2010,ILB,73.4,241.9,4.75,34.21,25.62,113.86,7.01,4.34,6-1
2011,ILB,73.64,241.73,4.69,34.11,20.7,116.33,7.01,4.28,6-1
2012,ILB,73.67,244.44,4.63,35.22,23.0,119.5,7.07,4.24,6-1
2013,ILB,73.22,243.56,4.76,32.7,22.33,117.33,7.17,4.34,6-1
2014,ILB,72.75,243.75,4.78,33.43,23.83,116.43,7.16,4.27,6-0
2015,ILB,72.83,238.25,4.72,34.5,21.92,116.42,7.18,4.28,6-0
2016,ILB,73.56,242.56,4.78,31.31,18.33,116.38,7.05,4.28,6-1
2017,ILB,73.1,236.9,4.67,33.0,22.5,119.86,7.07,4.29,6-1
2018,ILB,73.45,239.0,4.69,34.38,21.2,118.62,7.06,4.31,6-1
2010,CB,70.96,195.12,4.48,35.94,14.18,120.32,6.86,4.19,5-10
2011,CB,71.54,194.68,4.45,35.62,16.08,120.52,6.79,4.1,5-11
2012,CB,70.83,193.04,4.47,34.97,16.31,120.32,6.83,4.07,5-10
2013,CB,71.39,194.36,4.48,35.63,13.24,123.52,6.86,4.15,5-11
2014,CB,71.16,194.78,4.5,36.81,14.56,123.35,6.95,4.22,5-11
2015,CB,71.04,193.58,4.49,37.09,16.56,124.14,6.96,4.13,5-11
2016,CB,71.56,194.22,4.48,35.64,14.42,122.19,6.99,4.16,5-11
2017,CB,72.26,197.3,4.48,34.98,13.89,123.46,6.84,4.16,6-0
2018,CB,71.38,190.86,4.47,34.65,14.67,122.6,6.86,4.22,5-11
2019,CB,72.42,198.08,4.48,38.06,14.68,125.61,6.9,4.13,6-0
2020,CB,71.61,195.39,4.48,36.68,16.0,127.06,7.04,4.21,5-11
2021,CB,70.64,191.91,4.46,36.65,15.56,124.3,6.96,4.18,5-10
2022,CB,72.36,191.04,4.43,37.0,16.5,126.5,6.48,3.94,6-0
2023,CB,72.31,190.27,4.44,37.21,14.17,128.32,6.88,4.31,6-0
2010,OG,76.0,314.6,5.22,27.57,28.62,98.0,7.82,4.81,6-4
2011,OG,75.87,308.13,5.26,27.88,24.75,100.0,7.7,4.67,6-3
2012,OG,76.0,315.14,5.27,27.62,26.58,100.36,7.82,4.76,6-4
2013,OG,75.67,315.67,5.18,26.28,25.89,103.5,7.69,4.8,6-3
2014,OG,76.0,314.22,5.24,27.19,27.44,102.6,7.86,4.71,6-4
2015,OG,76.44,322.06,5.33,28.19,27.7,101.67,7.88,4.72,6-4
2016,OG,75.8,306.6,5.24,27.88,29.75,100.2,7.63,4.71,6-3
2017,OG,76.17,315.0,5.23,27.77,27.08,103.91,7.87,4.82,6-4
2018,OG,76.22,315.0,5.27,27.06,29.12,105.5,7.71,4.76,6-4
2022,OG,76.3,315.15,5.17,27.24,26.88,106.44,7.76,4.77,6-4
2023,OG,76.2,316.0,5.16,27.75,0.0,104.0,7.76,4.78,6-4
2010,DT,75.1,308.7,5.05,30.75,30.64,104.12,7.6,4.66,6-3
2011,DT,74.56,311.44,5.03,27.93,29.33,104.0,7.56,4.64,6-2
2012,DT,75.16,308.58,5.0,30.43,31.0,107.21,7.46,4.54,6-3
2013,DT,74.76,310.71,5.12,28.46,29.5,106.23,7.58,4.67,6-2
2014,DT,74.94,311.41,5.11,28.65,27.69,102.54,7.8,4.7,6-2
2015,DT,74.95,311.47,5.1,30.23,29.0,104.47,7.72,4.59,6-2
2016,DT,75.14,304.82,5.07,29.38,25.7,107.2,7.77,4.65,6-3
2017,DT,74.95,304.68,5.11,28.17,23.94,106.0,7.65,4.63,6-2
2018,DT,75.18,309.82,5.11,29.14,30.42,104.82,7.64,4.68,6-3
2021,DT,74.0,319.67,5.09,29.67,40.0,102.67,7.68,4.75,6-2
